iter	Passed	Remaining
0	200	200310
1	246	123005
2	285	94749
3	301	75074
4	316	62922
5	330	54728
6	346	49106
7	358	44499
8	371	40912
9	385	38165
10	399	35898
11	412	33939
12	425	32301
13	438	30851
14	450	29576
15	464	28575
16	478	27660
17	490	26776
18	503	26022
19	516	25325
20	530	24751
21	545	24235
22	559	23764
23	572	23289
24	587	22901
25	601	22515
26	614	22143
27	629	21843
28	644	21584
29	660	21350
30	675	21130
31	690	20885
32	704	20641
33	717	20390
34	732	20186
35	747	20007
36	765	19921
37	782	19810
38	798	19667
39	814	19546
40	829	19396
41	845	19279
42	860	19156
43	879	19116
44	895	18999
45	909	18866
46	927	18814
47	944	18741
48	963	18702
49	983	18691
50	1002	18655
51	1021	18613
52	1039	18572
53	1057	18534
54	1076	18499
55	1097	18493
56	1118	18502
57	1139	18502
58	1161	18521
59	1188	18619
60	1210	18627
61	1230	18618
62	1249	18577
63	1267	18533
64	1285	18487
65	1301	18422
66	1320	18383
67	1337	18336
68	1356	18303
69	1374	18260
70	1391	18211
71	1408	18151
72	1426	18120
73	1445	18091
74	1465	18076
75	1485	18056
76	1505	18040
77	1523	18005
78	1541	17976
79	1561	17953
80	1580	17929
81	1601	17927
82	1625	17959
83	1650	17993
84	1678	18070
85	1699	18062
86	1718	18029
87	1740	18039
88	1761	18025
89	1780	18002
90	1797	17954
91	1816	17931
92	1835	17902
93	1854	17875
94	1873	17852
95	1891	17811
96	1910	17787
97	1929	17761
98	1948	17737
99	1968	17712
100	1986	17682
101	2005	17654
102	2024	17628
103	2045	17620
104	2068	17629
105	2086	17596
106	2106	17582
107	2128	17583
108	2150	17575
109	2169	17555
110	2187	17518
111	2207	17503
112	2226	17476
113	2244	17443
114	2264	17427
115	2283	17398
116	2302	17377
117	2320	17348
118	2339	17319
119	2357	17291
120	2377	17274
121	2396	17243
122	2415	17224
123	2435	17203
124	2453	17176
125	2476	17178
126	2497	17166
127	2516	17141
128	2534	17111
129	2554	17093
130	2572	17067
131	2591	17037
132	2609	17013
133	2629	16995
134	2648	16967
135	2666	16941
136	2684	16912
137	2702	16881
138	2719	16846
139	2738	16823
140	2757	16797
141	2774	16765
142	2795	16754
143	2816	16742
144	2837	16728
145	2855	16700
146	2874	16679
147	2894	16664
148	2916	16658
149	2936	16638
150	2954	16610
151	2971	16577
152	2990	16554
153	3007	16522
154	3025	16492
155	3042	16460
156	3060	16434
157	3078	16404
158	3094	16367
159	3110	16331
160	3127	16299
161	3146	16275
162	3163	16244
163	3180	16211
164	3197	16180
165	3214	16150
166	3231	16120
167	3250	16098
168	3268	16070
169	3286	16044
170	3304	16019
171	3324	16003
172	3346	15996
173	3363	15967
174	3381	15939
175	3398	15913
176	3417	15888
177	3434	15860
178	3452	15833
179	3468	15800
180	3485	15773
181	3503	15745
182	3520	15718
183	3537	15687
184	3557	15670
185	3574	15644
186	3591	15614
187	3608	15586
188	3627	15564
189	3645	15540
190	3661	15508
191	3680	15486
192	3698	15462
193	3715	15436
194	3731	15405
195	3753	15395
196	3772	15378
197	3791	15359
198	3810	15337
199	3828	15314
200	3847	15296
201	3869	15287
202	3889	15270
203	3908	15249
204	3926	15226
205	3944	15204
206	3961	15177
207	3983	15168
208	4004	15155
209	4023	15135
210	4043	15121
211	4063	15102
212	4082	15082
213	4099	15058
214	4119	15041
215	4137	15017
216	4153	14986
217	4172	14967
218	4192	14951
219	4208	14922
220	4227	14900
221	4244	14874
222	4260	14844
223	4277	14816
224	4295	14794
225	4313	14771
226	4330	14747
227	4347	14719
228	4365	14697
229	4383	14674
230	4401	14652
231	4418	14625
232	4435	14599
233	4452	14573
234	4468	14547
235	4485	14522
236	4502	14496
237	4520	14473
238	4537	14447
239	4553	14420
240	4570	14394
241	4586	14367
242	4606	14351
243	4625	14332
244	4643	14308
245	4661	14288
246	4678	14263
247	4695	14238
248	4712	14213
249	4729	14189
250	4746	14162
251	4763	14139
252	4780	14115
253	4797	14091
254	4814	14067
255	4832	14045
256	4849	14020
257	4866	13996
258	4883	13971
259	4901	13951
260	4919	13928
261	4935	13902
262	4953	13880
263	4970	13857
264	4988	13836
265	5006	13815
266	5026	13800
267	5044	13779
268	5061	13753
269	5077	13726
270	5094	13703
271	5110	13678
272	5126	13652
273	5143	13627
274	5160	13605
275	5180	13588
276	5199	13572
277	5219	13556
278	5237	13533
279	5255	13514
280	5274	13494
281	5293	13477
282	5312	13459
283	5330	13438
284	5348	13419
285	5367	13399
286	5385	13379
287	5403	13359
288	5419	13334
289	5435	13308
290	5456	13293
291	5474	13274
292	5491	13251
293	5508	13227
294	5524	13203
295	5541	13180
296	5559	13159
297	5576	13137
298	5594	13116
299	5613	13097
300	5630	13074
301	5647	13052
302	5664	13030
303	5682	13008
304	5698	12985
305	5715	12962
306	5731	12936
307	5747	12912
308	5763	12889
309	5780	12865
310	5797	12842
311	5813	12819
312	5829	12794
313	5845	12771
314	5863	12751
315	5884	12736
316	5902	12716
317	5919	12695
318	5937	12675
319	5954	12652
320	5971	12631
321	5988	12609
322	6005	12588
323	6022	12564
324	6043	12551
325	6066	12541
326	6084	12522
327	6103	12504
328	6122	12486
329	6143	12473
330	6164	12459
331	6184	12442
332	6203	12426
333	6221	12406
334	6242	12392
335	6261	12373
336	6280	12356
337	6300	12340
338	6321	12325
339	6339	12306
340	6358	12287
341	6376	12268
342	6395	12251
343	6413	12229
344	6431	12211
345	6449	12191
346	6470	12175
347	6488	12156
348	6506	12136
349	6523	12115
350	6542	12097
351	6560	12077
352	6579	12058
353	6597	12039
354	6615	12019
355	6634	12001
356	6650	11978
357	6667	11956
358	6684	11935
359	6703	11916
360	6721	11896
361	6740	11879
362	6757	11859
363	6774	11837
364	6792	11816
365	6809	11795
366	6826	11774
367	6843	11753
368	6860	11732
369	6882	11718
370	6901	11700
371	6919	11681
372	6938	11662
373	6954	11641
374	6971	11619
375	6988	11597
376	7005	11575
377	7022	11556
378	7040	11536
379	7058	11515
380	7074	11494
381	7091	11472
382	7107	11449
383	7123	11427
384	7140	11405
385	7161	11391
386	7191	11390
387	7209	11371
388	7228	11353
389	7248	11337
390	7267	11319
391	7288	11304
392	7309	11289
393	7331	11275
394	7351	11259
395	7372	11245
396	7393	11229
397	7413	11213
398	7433	11196
399	7455	11182
400	7476	11168
401	7498	11153
402	7519	11139
403	7539	11123
404	7558	11103
405	7578	11087
406	7599	11072
407	7617	11053
408	7634	11032
409	7654	11015
410	7673	10996
411	7690	10976
412	7710	10958
413	7729	10940
414	7749	10923
415	7768	10906
416	7786	10885
417	7805	10867
418	7823	10848
419	7840	10827
420	7858	10807
421	7876	10787
422	7892	10765
423	7909	10744
424	7926	10724
425	7943	10703
426	7960	10682
427	7976	10660
428	7992	10638
429	8015	10624
430	8033	10605
431	8050	10584
432	8068	10565
433	8084	10544
434	8102	10523
435	8119	10503
436	8136	10482
437	8154	10463
438	8172	10443
439	8189	10423
440	8206	10402
441	8223	10381
442	8240	10360
443	8256	10339
444	8273	10318
445	8292	10300
446	8309	10279
447	8326	10259
448	8344	10240
449	8362	10220
450	8379	10199
451	8397	10180
452	8415	10161
453	8433	10143
454	8453	10125
455	8470	10105
456	8485	10082
457	8501	10060
458	8518	10040
459	8537	10021
460	8553	10000
461	8570	9980
462	8586	9958
463	8603	9938
464	8620	9918
465	8637	9898
466	8654	9877
467	8670	9856
468	8688	9837
469	8706	9817
470	8723	9798
471	8741	9778
472	8758	9758
473	8773	9736
474	8790	9716
475	8810	9699
476	8827	9679
477	8843	9658
478	8865	9643
479	8883	9623
480	8900	9604
481	8919	9585
482	8937	9566
483	8955	9547
484	8970	9525
485	8989	9507
486	9007	9488
487	9026	9470
488	9045	9452
489	9063	9433
490	9082	9414
491	9101	9397
492	9119	9378
493	9138	9360
494	9157	9342
495	9175	9323
496	9193	9304
497	9213	9287
498	9231	9268
499	9248	9248
500	9264	9227
501	9282	9209
502	9302	9191
503	9319	9171
504	9336	9151
505	9353	9131
506	9369	9110
507	9386	9091
508	9403	9070
509	9420	9051
510	9438	9032
511	9456	9013
512	9474	8994
513	9492	8975
514	9509	8955
515	9527	8936
516	9544	8916
517	9559	8895
518	9578	8877
519	9595	8857
520	9612	8837
521	9629	8817
522	9647	8799
523	9663	8778
524	9680	8758
525	9697	8738
526	9718	8722
527	9737	8704
528	9753	8684
529	9771	8665
530	9789	8646
531	9806	8627
532	9824	8607
533	9842	8589
534	9858	8568
535	9876	8550
536	9893	8530
537	9910	8510
538	9927	8490
539	9943	8470
540	9959	8449
541	9975	8429
542	9991	8409
543	10008	8389
544	10025	8370
545	10042	8350
546	10058	8329
547	10075	8310
548	10092	8290
549	10109	8271
550	10127	8252
551	10148	8236
552	10165	8217
553	10183	8198
554	10200	8179
555	10218	8159
556	10235	8140
557	10251	8120
558	10268	8100
559	10285	8081
560	10302	8061
561	10319	8042
562	10336	8023
563	10353	8003
564	10371	7984
565	10388	7965
